-179.5,-89.5,0.142333
-179.5,-88.5,0.175450
-179.5,-87.5,0.196087
-179.5,-86.5,0.207849
-179.5,-85.5,0.217875
-179.5,-84.5,0.228711
-179.5,-83.5,0.235467
-179.5,-82.5,0.230148
-179.5,-81.5,0.209256
-179.5,-80.5,0.178972
-179.5,-79.5,0.154772
-179.5,-78.5,0.156225
-179.5,-77.5,0.199619
-179.5,-76.5,0.290776
-179.5,-75.5,0.419835
-179.5,-74.5,0.560233
-179.5,-73.5,0.674347
-179.5,-72.5,0.726111
-179.5,-71.5,0.696320
-179.5,-70.5,0.592568
-179.5,-69.5,0.446943
-179.5,-68.5,0.301369
-179.5,-67.5,NaN
-179.5,-66.5,NaN
-179.5,-65.5,NaN
-179.5,-64.5,NaN
-179.5,-63.5,NaN
-179.5,-62.5,NaN
-178.5,-89.5,0.142551
-178.5,-88.5,0.176075
-178.5,-87.5,0.197216
-178.5,-86.5,0.209762
-178.5,-85.5,0.220693
-178.5,-84.5,0.232119
-178.5,-83.5,0.238872
-178.5,-82.5,0.233161
-178.5,-81.5,0.212009
-178.5,-80.5,0.181892
-178.5,-79.5,0.157968
-178.5,-78.5,0.159037
-178.5,-77.5,0.200792
-178.5,-76.5,0.289203
-178.5,-75.5,0.415336
-178.5,-74.5,0.553809
-178.5,-73.5,0.667756
-178.5,-72.5,0.721088
-178.5,-71.5,0.693937
-178.5,-70.5,0.593021
-178.5,-69.5,0.449707
-178.5,-68.5,0.305503
-178.5,-67.5,NaN
-178.5,-66.5,NaN
-178.5,-65.5,NaN
-178.5,-64.5,NaN
-178.5,-63.5,NaN
-178.5,-62.5,NaN
-177.5,-89.5,0.142762
-177.5,-88.5,0.176678
-177.5,-87.5,0.198301
-177.5,-86.5,0.211594
-177.5,-85.5,0.223372
-177.5,-84.5,0.235312
-177.5,-83.5,0.242001
-177.5,-82.5,0.235901
-177.5,-81.5,0.214591
-177.5,-80.5,0.184842
-177.5,-79.5,0.161439
-177.5,-78.5,0.162308
-177.5,-77.5,0.202425
-177.5,-76.5,0.287814
-177.5,-75.5,0.410465
-177.5,-74.5,0.546281
-177.5,-73.5,0.659349
-177.5,-72.5,0.713771
-177.5,-71.5,0.689166
-177.5,-70.5,0.591390
-177.5,-69.5,0.450983
-177.5,-68.5,0.308882
-177.5,-67.5,NaN
-177.5,-66.5,NaN
-177.5,-65.5,NaN
-177.5,-64.5,NaN
-177.5,-63.5,NaN
-177.5,-62.5,NaN
-176.5,-89.5,0.142967
-176.5,-88.5,0.177257
-176.5,-87.5,0.199339
-176.5,-86.5,0.213340
-176.5,-85.5,0.225900
-176.5,-84.5,0.238276
-176.5,-83.5,0.244843
-176.5,-82.5,0.238362
-176.5,-81.5,0.217004
-176.5,-80.5,0.187831
-176.5,-79.5,0.165199
-176.5,-78.5,0.166063
-176.5,-77.5,0.204566
-176.5,-76.5,0.286707
-176.5,-75.5,0.405390
-176.5,-74.5,0.537900
-176.5,-73.5,0.649447
-176.5,-72.5,0.704511
-176.5,-71.5,0.682323
-176.5,-70.5,0.587902
-176.5,-69.5,0.450888
-176.5,-68.5,0.311523
-176.5,-67.5,NaN
-176.5,-66.5,NaN
-176.5,-65.5,NaN
-176.5,-64.5,NaN
-176.5,-63.5,NaN
-176.5,-62.5,NaN
-175.5,-89.5,0.143165
-175.5,-88.5,0.177813
-175.5,-87.5,0.200329
-175.5,-86.5,0.214994
-175.5,-85.5,0.228269
-175.5,-84.5,0.241001
-175.5,-83.5,0.247390
-175.5,-82.5,0.240543
-175.5,-81.5,0.219251
-175.5,-80.5,0.190863
-175.5,-79.5,0.169252
-175.5,-78.5,0.170310
-175.5,-77.5,0.207246
-175.5,-76.5,0.285961
-175.5,-75.5,0.400272
-175.5,-74.5,0.528924
-175.5,-73.5,0.638391
-175.5,-72.5,0.693686
-175.5,-71.5,0.673759
-175.5,-70.5,0.582820
-175.5,-69.5,0.449564
-175.5,-68.5,0.313461
-175.5,-67.5,NaN
-175.5,-66.5,NaN
-175.5,-65.5,NaN
-175.5,-64.5,NaN
-175.5,-63.5,NaN
-175.5,-62.5,NaN
-174.5,-89.5,0.143356
-174.5,-88.5,0.178344
-174.5,-87.5,0.201266
-174.5,-86.5,0.216549
-174.5,-85.5,0.230468
-174.5,-84.5,0.243477
-174.5,-83.5,0.249636
-174.5,-82.5,0.242442
-174.5,-81.5,0.221336
-174.5,-80.5,0.193938
-174.5,-79.5,0.173592
-174.5,-78.5,0.175044
-174.5,-77.5,0.210479
-174.5,-76.5,0.285643
-174.5,-75.5,0.395263
-174.5,-74.5,0.519610
-174.5,-73.5,0.626534
-174.5,-72.5,0.681699
-174.5,-71.5,0.663856
-174.5,-70.5,0.576439
-174.5,-69.5,0.447183
-174.5,-68.5,0.314744
-174.5,-67.5,NaN
-174.5,-66.5,NaN
-174.5,-65.5,NaN
-174.5,-64.5,NaN
-174.5,-63.5,NaN
-174.5,-62.5,NaN
-173.5,-89.5,0.143540
-173.5,-88.5,0.178851
-173.5,-87.5,0.202151
-173.5,-86.5,0.218001
-173.5,-85.5,0.232489
-173.5,-84.5,0.245695
-173.5,-83.5,0.251577
-173.5,-82.5,0.244062
-173.5,-81.5,0.223259
-173.5,-80.5,0.197053
-173.5,-79.5,0.178205
-173.5,-78.5,0.180242
-173.5,-77.5,0.214261
-173.5,-76.5,0.285802
-173.5,-75.5,0.390503
-173.5,-74.5,0.510213
-173.5,-73.5,0.614234
-173.5,-72.5,0.668964
-173.5,-71.5,0.653016
-173.5,-70.5,0.569080
-173.5,-69.5,0.443944
-173.5,-68.5,0.315440
-173.5,-67.5,NaN
-173.5,-66.5,NaN
-173.5,-65.5,NaN
