GRACE/GRACE-FO record index,START DAY,END DAY,Month Sr No,GRACE/GRACE-FO record index,MONTH,YEAR,START DAY,YEAR,END DAY,COMMON MISSING DAYS,CSR unused days,GFZ unused days,JPL unused days,,
91,1,31,94,91,JAN,2010,1,2010,31,,,,,,
92,32,59,95,92,FEB,2010,32,2010,59,,,,,,
93,60,90,96,93,MAR,2010,60,2010,90,,,,,,
94,91,120,97,94,APR,2010,91,2010,120,,,,,,
95,121,151,98,95,MAY,2010,121,2010,151,,,,,,
96,152,181,99,96,JUN,2010,152,2010,181,,,,,,
97,182,212,100,97,JUL,2010,182,2010,212,,,,,,
98,213,243,101,98,AUG,2010,213,2010,243,,,,,,
99,244,273,102,99,SEP,2010,244,2010,273,,,,,,
100,274,304,103,100,OCT,2010,274,2010,304,,,,,,
101,305,334,104,101,NOV,2010,305,2010,334,,,,,,
102,335,365,105,102,DEC,2010,335,2010,365,362 to 365,,,,,
NA,1,31,106,NA,JAN,2011,1,2011,31,1 to 31,,,,,
103,32,59,107,103,FEB,2011,32,2011,59,32 to 38,,,,,
104,60,90,108,104,MAR,2011,60,2011,90,,,,,,
105,91,120,109,105,APR,2011,91,2011,120,,,,,,
106,121,151,110,106,MAY,2011,121,2011,151,,,,,,
NA,152,181,111,NA,JUN,2011,152,2011,181,152 to 181,,,,,
107,182,212,112,107,JUL,2011,182,2011,212,182 to 185,,,,,
108,213,243,113,108,AUG,2011,213,2011,243,,,,,,
109,244,273,114,109,SEP,2011,244,2011,273,,,,,,
110,274,304,115,110,OCT,2011,274,2011,304,,,,,,
111,289,320,116,111,NOV,2011,289,2011,320,,,,,,
112,346,11,117,112,DEC,2011,346,2012,11,,"348-350, 358",348-350,days used 351 to 15,,
113,1,31,118,113,JAN,2012,1,2012,31,,,,,,
114,32,60,119,114,FEB,2012,32,2012,60,,,,,,
115,61,91,120,115,MAR,2012,61,2012,91,,,,,,
116,80,121,121,116,APR,2012,80,2012,121,110-121,,,,,
NA,122,152,122,NA,MAY,2012,122,2012,152,122-152,,,,,
117,153,182,123,117,JUN,2012,153,2012,182,,,,,,
118,183,213,124,118,JUL,2012,183,2012,213,,,,,,
119,214,244,125,119,AUG,2012,214,2012,244,,,,,,
120,245,274,126,120,SEP,2012,245,2012,274,270-274,,,,,
NA,275,305,127,NA,OCT,2012,275,2012,305,275-305,,,,,
121,306,335,128,121,NOV,2012,306,2012,335,306-310,,,,,
122,336,366,129,122,DEC,2012,336,2012,366,342-343,,,,,
123,1,31,130,123,JAN,2013,1,2013,31,,,,,,
124,32,59,131,124,FEB,2013,32,2013,59,58-59,,,,,
NA,60,90,132,NA,MAR,2013,60,2013,90,60-90,,,,,
125,91,120,133,125,APR,2013,91,2013,120,91-100,,,,,
126,121,151,134,126,MAY,2013,121,2013,151,,,,,,
127,152,181,135,127,JUN,2013,152,2013,181,,,,163,,
128,182,212,136,128,JUL,2013,182,2013,212,,,,,,
NA,213,243,137,NA,AUG,2013,213,2013,243,213-243,,,,,
NA,244,273,138,NA,SEP,2013,244,2013,273,244-273,,,,,
129,274,304,139,129,OCT,2013,274,2013,304,,,,,,
130,305,334,140,130,NOV,2013,305,2013,334,,,,,,
131,335,365,141,131,DEC,2013,335,2013,365,359-361,,,,,
